llm_id,llm_name,mixture,prediction_quality,Q1,Q2,Q3,Q4,Q4_minus_Q2,Q2_minus_Q1,Q4_minus_Q1
1,Gemini,1,B,1,1,1,1,0,0,0
2,Claude,1,B,1,1,2,1,0,0,0
3,DeepSeek,1,B,4,4,3,4,0,0,0
4,ChatGPT,1,B,1,1,1,1,0,0,0
1,Gemini,2,B,1,2,4,3,1,1,2
2,Claude,2,B,1,3,4,3,0,2,2
3,DeepSeek,2,B,2,5,5,5,0,3,3
4,ChatGPT,2,B,1,2,3,3,1,1,2
1,Gemini,3,B,1,1,2,1,0,0,0
2,Claude,3,B,1,1,2,1,0,0,0
3,DeepSeek,3,B,1,1,2,1,0,0,0
4,ChatGPT,3,B,1,1,2,1,0,0,0
1,Gemini,4,B,1,2,3,2,0,1,1
2,Claude,4,B,1,1,2,1,0,0,0
3,DeepSeek,4,B,2,2,3,2,0,0,0
4,ChatGPT,4,B,1,1,2,1,0,0,0
1,Gemini,5,B,2,3,2,3,0,1,1
2,Claude,5,B,2,3,2,2,-1,1,0
3,DeepSeek,5,B,2,2,3,2,0,0,0
4,ChatGPT,5,B,2,2,3,2,0,0,0
1,Gemini,6,B,2,2,2,2,0,0,0
2,Claude,6,B,2,3,3,3,0,1,1
3,DeepSeek,6,B,2,2,3,3,1,0,1
4,ChatGPT,6,B,1,1,2,1,0,0,0
1,Gemini,7,B,1,2,3,2,0,1,1
2,Claude,7,B,1,2,3,2,0,1,1
3,DeepSeek,7,B,2,2,4,3,1,0,1
4,ChatGPT,7,B,1,2,3,2,0,1,1
1,Gemini,8,G,2,4,2,3,-1,2,1
2,Claude,8,G,2,4,2,3,-1,2,1
3,DeepSeek,8,G,3,4,4,4,0,1,1
4,ChatGPT,8,G,2,4,3,4,0,2,2
1,Gemini,9,B,1,1,3,1,0,0,0
2,Claude,9,B,1,1,3,1,0,0,0
3,DeepSeek,9,B,1,1,2,1,0,0,0
4,ChatGPT,9,B,1,1,3,2,1,0,1
1,Gemini,10,G,3,4,2,3,-1,1,0
2,Claude,10,G,3,4,3,3,-1,1,0
3,DeepSeek,10,G,4,4,4,5,1,0,1
4,ChatGPT,10,G,4,4,2,3,-1,0,-1
1,Gemini,11,G,2,4,3,4,0,2,2
2,Claude,11,G,2,3,2,3,0,1,1
3,DeepSeek,11,G,3,5,4,5,0,2,2
4,ChatGPT,11,G,2,3,2,3,0,1,1
1,Gemini,12,G,3,4,2,3,-1,1,0
2,Claude,12,G,3,4,3,3,-1,1,0
3,DeepSeek,12,G,3,3,2,2,-1,0,-1
4,ChatGPT,12,G,2,2,2,2,0,0,0
1,Gemini,13,G,2,2,2,2,0,0,0
2,Claude,13,G,2,1,2,1,0,-1,-1
3,DeepSeek,13,G,2,1,2,1,0,-1,-1
4,ChatGPT,13,G,1,1,1,1,0,0,0
1,Gemini,14,G,4,5,2,4,-1,1,0
2,Claude,14,G,4,4,2,3,-1,0,-1
3,DeepSeek,14,G,4,4,2,3,-1,0,-1
4,ChatGPT,14,G,3,1,2,1,0,-2,-2
1,Gemini,15,G,4,4,2,3,-1,0,-1
2,Claude,15,G,4,4,2,3,-1,0,-1
3,DeepSeek,15,G,3,2,2,1,-1,-1,-2
4,ChatGPT,15,G,1,1,1,1,0,0,0
